d1,d2,d3,c1,c2,c3,participant
9.0,2.0,4.0,Blue,Red,Green,5
1.0,8.0,6.0,Yellow,Pink,Brown,5
,,,,,,5
9.0,2.0,4.0,Blue,Red,Green,5
5.0,7.0,3.0,Purple,Orange,DarkGray,5
1.0,8.0,6.0,Blue,Red,Green,5
9.0,2.0,4.0,Purple,Orange,DarkGray,5
5.0,7.0,3.0,Blue,Red,Green,5
9.0,2.0,4.0,Purple,Orange,DarkGray,5
5.0,7.0,3.0,Blue,Red,Green,5
1.0,8.0,6.0,Yellow,Pink,Brown,5
9.0,2.0,4.0,Purple,Orange,DarkGray,5
1.0,8.0,6.0,Yellow,Pink,Brown,5
5.0,7.0,3.0,Purple,Orange,DarkGray,5
1.0,8.0,6.0,Blue,Red,Green,5
9.0,2.0,4.0,Purple,Orange,DarkGray,5
1.0,8.0,6.0,Yellow,Pink,Brown,5
9.0,2.0,4.0,Purple,Orange,DarkGray,5
1.0,8.0,6.0,Yellow,Pink,Brown,5
9.0,2.0,4.0,Blue,Red,Green,5
1.0,8.0,6.0,Purple,Orange,DarkGray,5
5.0,7.0,3.0,Yellow,Pink,Brown,5
1.0,8.0,6.0,Blue,Red,Green,5
5.0,7.0,3.0,Purple,Orange,DarkGray,5
9.0,2.0,4.0,Yellow,Pink,Brown,5
5.0,7.0,3.0,Purple,Orange,DarkGray,5
1.0,8.0,6.0,Blue,Red,Green,5
5.0,7.0,3.0,Yellow,Pink,Brown,5
1.0,8.0,6.0,Purple,Orange,DarkGray,5
5.0,7.0,3.0,Yellow,Pink,Brown,5
1.0,8.0,6.0,Blue,Red,Green,5
5.0,7.0,3.0,Purple,Orange,DarkGray,5
1.0,8.0,6.0,Blue,Red,Green,5
9.0,2.0,4.0,Yellow,Pink,Brown,5
5.0,7.0,3.0,Blue,Red,Green,5
1.0,8.0,6.0,Purple,Orange,DarkGray,5
5.0,7.0,3.0,Blue,Red,Green,5
9.0,2.0,4.0,Purple,Orange,DarkGray,5
5.0,7.0,3.0,Blue,Red,Green,5
1.0,8.0,6.0,Purple,Orange,DarkGray,5
5.0,7.0,3.0,Blue,Red,Green,5
1.0,8.0,6.0,Purple,Orange,DarkGray,5
,,,,,,5
5.0,7.0,3.0,Blue,Red,Green,5
1.0,8.0,6.0,Purple,Orange,DarkGray,5
9.0,2.0,4.0,Blue,Red,Green,5
1.0,8.0,6.0,Yellow,Pink,Brown,5
,,,,,,5
9.0,2.0,4.0,Purple,Orange,DarkGray,5
1.0,8.0,6.0,Yellow,Pink,Brown,5
,,,,,,5
9.0,2.0,4.0,Purple,Orange,DarkGray,5
5.0,7.0,3.0,Blue,Red,Green,5
9.0,2.0,4.0,,,,5
