,d1,d2,d3,c1,c2,c3,participant
118,5,7,3,Purple,Orange,Gray,9
119,9,2,4,Yellow,Pink,Brown,9
120,5,7,3,Purple,Orange,Gray,9
121,1,8,6,Blue,Red,Green,9
122,5,7,3,Yellow,Pink,Brown,9
123,9,2,4,Blue,Red,Green,9
124,5,7,3,Yellow,Pink,Brown,9
125,9,2,4,Blue,Red,Green,9
126,5,7,3,Yellow,Pink,Brown,9
127,9,2,4,Blue,Red,Green,9
128,5,7,3,Purple,Orange,Gray,9
129,9,2,4,Blue,Red,Green,9
130,5,7,3,Purple,Orange,Gray,9
131,1,8,6,Yellow,Pink,Brown,9
132,9,2,4,Blue,Red,Green,9
133,1,8,6,Purple,Orange,Gray,9
134,9,2,4,Blue,Red,Green,9
