,d1,d2,d3,c1,c2,c3,participant
89,5,7,3,Yellow,Pink,Brown,4
90,9,2,4,Purple,Orange,Gray,4
91,5,7,3,Yellow,Pink,Brown,4
92,1,8,6,Purple,Orange,Gray,4
93,5,7,3,Blue,Red,Green,4
94,9,2,4,Yellow,Pink,Brown,4
95,1,8,6,Blue,Red,Green,4
96,9,2,4,Purple,Orange,Gray,4
97,1,8,6,Yellow,Pink,Brown,4
98,9,2,4,Purple,Orange,Gray,4
99,5,7,3,Blue,Red,Green,4
100,9,2,4,Yellow,Pink,Brown,4
101,1,8,6,Purple,Orange,Gray,4
102,5,7,3,Blue,Red,Green,4
103,9,2,4,Purple,Orange,Gray,4
104,5,7,3,Yellow,Pink,Brown,4
105,9,2,4,Blue,Red,Green,4
106,5,7,3,Yellow,Pink,Brown,4
107,9,2,4,Purple,Orange,Gray,4
108,1,8,6,Yellow,Pink,Brown,4
109,5,7,3,Purple,Orange,Gray,4
110,9,2,4,Blue,Red,Green,4
111,1,8,6,Yellow,Pink,Brown,4
112,9,2,4,Blue,Red,Green,4
113,5,7,3,Yellow,Pink,Brown,4
114,1,8,6,Blue,Red,Green,4
115,9,2,4,Purple,Orange,Gray,4
116,5,7,3,Yellow,Pink,Brown,4
117,1,8,6,Blue,Red,Green,4
118,5,7,3,Purple,Orange,Gray,4
119,1,8,6,Yellow,Pink,Brown,4
120,5,7,3,Blue,Red,Green,4
121,9,2,4,Yellow,Pink,Brown,4
122,5,7,3,Purple,Orange,Gray,4
123,1,8,6,Yellow,Pink,Brown,4
124,5,7,3,Purple,Orange,Gray,4
125,1,8,6,Blue,Red,Green,4
126,5,7,3,Yellow,Pink,Brown,4
127,1,8,6,Blue,Red,Green,4
128,5,7,3,Purple,Orange,Gray,4
129,1,8,6,Yellow,Pink,Brown,4
130,5,7,3,Purple,Orange,Gray,4
131,9,2,4,Blue,Red,Green,4
132,5,7,3,Yellow,Pink,Brown,4
133,1,8,6,Blue,Red,Green,4
134,5,7,3,Purple,Orange,Gray,4
